"Molecule ChEMBL ID","Molecular Weight","AlogP","Smiles","IC50"
"CHEMBL1946006",387.49,4.24,"CN1CC=CCCOc2cccc(c2)c3ccnc(Nc4cc(N)cc(C1)c4)n3",50.0
"CHEMBL1946151",500.6,4.52,"CN1CC=CCCOc2cccc(c2)c3ccnc(Nc4cc(C1)cc(NC(=O)N5CCOCC5)c4)n3",44.0
"CHEMBL1946443",402.5,4.67,"COc1ccc2cc1OCCC=CCN(C)Cc3cccc(Nc4nccc2n4)c3",510.0
"CHEMBL1973122",316.81,3.42,"ClCC(=O)N=C1/SC=CN1Cc2cccc3ccccc23",1036.0
"CHEMBL1995703",509.67999999999995,4.1,"CN1CCN(CC1)c2ccc(Nc3ncc(C)c(Nc4cccc(c4)S(=O)(=O)NC(C)(C)C)n3)cc2",6.0
"CHEMBL2012881",280.29,1.66,"OCC1=CC2=NNC(=O)N2c3cc(ccc13)c4ccc[nH]4",650.0
"CHEMBL2035043",368.44,4.93,"C1OCc2cccc(Nc3nccc(n3)c4ccc5ccn(CC=C1)c5c4)c2",150.0
"CHEMBL2035046",360.42,3.89,"C1OCc2cccc(Nc3nccc(n3)c4cncc(COCC=C1)c4)c2",930.0
"CHEMBL2035048",349.39,4.08,"C1OCc2oc(cc2)c3ccnc(Nc4cccc(COCC=C1)c4)n3",220.0
"CHEMBL2035050",495.63,5.71,"Cc1cnc2Nc3ccc(OCCN4CCCC4)c(COCC=CCn5ccc6ccc(cc56)c1n2)c3",370.0
"CHEMBL2035052",473.58,4.61,"C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5ccnc(OCCC=CCOCc2c3)c5",18.0
"CHEMBL2035054",475.59,4.47,"CN1CC=CCOCc2oc(cc2)c3ccnc(Nc4ccc(OCCN5CCCC5)c(C1)c4)n3",330.0
"CHEMBL2035056",436.51,4.02,"COCCOc1ccc2Nc3nccc(n3)c4oc(COCC=CCN(C)Cc1c2)cc4",1100.0
"CHEMBL2035182",452.58,4.49,"COCCOc1ccc2Nc3nccc(n3)c4ccc(COCC=CCN(C)Cc1c2)s4",170.0
"CHEMBL2035184",478.62,5.03,"C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5csc(COCC=CCOCc2c3)c5",17.0
"CHEMBL2035186",462.55,4.56,"C(CN1CCCC1)Oc2ccc3Nc4nccc(n4)c5coc(COCC=CCOCc2c3)c5",67.0
"CHEMBL205098",377.4,3.58,"COc1cc(Nc2ncc3ccn(c4ccccn4)c3n2)cc(OC)c1OC",5.9
"CHEMBL2062790",211.23,1.37,"Nc1nc2c(cccn2n1)c3ccncc3",1406.0
"CHEMBL2062793",278.24,3.0,"Nc1nc2c(cccn2n1)c3ccc(cc3)C(F)(F)F",193.0
